,0,1
0,34,39
1,35,40
2,36,54
3,37,41
4,38,48
5,39,72
6,40,66
7,41,51
8,42,58
9,43,54
10,44,54
11,54,51
12,55,44
13,56,51
14,57,67
15,58,57
16,59,59
17,60,58
18,61,61
19,62,61
20,63,38
21,2,41
22,1,43
23,3,41
24,4,43
25,6,45
26,5,39
27,7,48
28,8,67
29,9,71
30,10,72
31,11,76
32,73,77
33,74,52
34,75,56
35,76,43
36,77,41
37,78,61
38,79,55
39,80,53
40,81,53
41,82,55
42,83,55
43,45,45
44,46,50
45,47,41
46,48,51
47,49,53
48,50,50
49,51,30
50,52,61
51,53,54
52,64,53
53,66,37
54,65,39
55,68,46
56,67,34
57,69,61
58,70,66
59,71,56
60,72,52
61,12,47
62,13,52
63,14,61
64,15,54
65,16,47
66,17,35
67,18,48
68,20,44
69,19,49
70,21,42
71,22,43
72,23,50
73,24,36
74,25,34
75,26,38
76,27,43
77,28,38
78,29,35
79,30,38
80,31,41
81,32,36
82,33,38
83,34,22
84,35,26
85,36,21
86,37,21
87,38,32
88,40,31
89,39,31
90,42,35
91,43,30
92,44,35
93,41,35
94,46,39
95,58,31
96,60,38
97,59,37
98,61,35
99,63,25
100,62,37
101,65,24
102,11,44
103,10,51
104,9,43
105,8,42
106,7,31
107,1,20
108,3,22
109,2,23
110,4,23
111,5,22
112,6,23
113,83,57
114,81,32
115,79,53
116,77,43
117,75,50
118,73,63
119,74,44
120,76,33
121,78,38
122,80,56
123,82,55
124,45,27
125,47,23
126,48,32
127,49,33
128,50,25
129,52,34
130,51,24
131,55,37
132,53,36
133,54,33
134,56,37
135,57,34
136,64,8
137,66,21
138,68,22
139,67,24
140,70,32
141,71,35
142,69,36
143,72,37
144,12,45
145,14,43
146,13,38
147,15,39
148,16,28
149,18,35
150,17,25
151,19,36
152,20,26
153,21,26
154,23,31
155,22,22
156,27,24
157,26,24
158,25,19
159,28,23
160,30,25
161,31,22
162,24,22
163,32,17
164,33,21
165,29,23
166,38,49
167,37,36
168,39,60
169,41,45
170,40,54
171,42,49
172,48,57
173,50,43
174,49,37
175,51,25
176,52,42
177,54,42
178,53,41
179,55,40
180,4,41
181,3,38
182,1,39
183,2,41
184,5,42
185,7,51
186,8,63
187,9,71
188,6,39
189,74,44
190,76,33
191,78,37
192,80,49
193,82,54
194,83,60
195,81,38
196,77,43
197,79,67
198,75,50
199,73,67
200,43,48
201,46,58
202,45,43
203,44,42
204,47,40
205,56,43
206,57,42
207,59,43
208,60,48
209,58,43
210,61,48
211,63,30
212,62,46
213,65,31
214,66,30
215,64,32
216,68,30
217,69,54
218,70,45
219,72,59
220,67,35
221,71,49
222,12,51
223,14,60
224,16,42
225,18,63
226,17,72
227,10,66
228,13,46
229,15,46
230,11,68
231,33,30
232,31,29
233,29,35
234,30,32
235,32,29
236,28,33
237,34,38
238,36,53
239,35,36
240,24,32
241,27,31
242,25,29
243,28,29
244,26,28
245,31,33
246,29,29
247,32,31
248,30,31
249,33,36
250,43,50
251,45,44
252,51,26
253,49,40
254,47,28
255,48,40
256,50,41
257,46,45
258,44,45
259,1,34
260,2,31
261,6,31
262,7,42
263,8,50
264,3,31
265,4,21
266,63,34
267,66,37
268,64,39
269,68,33
270,69,45
271,71,26
272,70,53
273,72,49
274,65,37
275,67,39
276,34,32
277,36,67
278,37,38
279,35,31
280,39,59
281,38,43
282,42,54
283,41,51
284,40,57
285,52,33
286,54,44
287,53,43
288,57,48
289,56,44
290,59,54
291,60,53
292,55,48
293,58,51
294,61,55
295,62,50
296,10,63
297,12,40
298,13,42
299,14,55
300,15,52
301,17,29
302,6,29
303,5,30
304,9,45
305,16,43
306,18,44
307,11,70
308,20,37
309,21,33
310,22,30
311,23,40
312,19,39
313,83,57
314,77,43
315,79,54
316,77,40
317,75,50
318,73,61
319,74,46
320,76,40
321,78,39
322,80,49
323,82,50
324,8,49
325,65,31
326,76,38
327,53,42
328,2,37
329,38,42
330,68,39
331,13,49
332,44,42
333,40,40
334,79,54
335,59,47
336,22,38
337,37,31
338,80,46
339,39,42
340,20,33
341,14,55
342,31,31
343,29,30
344,18,41
345,16,44
346,36,42
347,64,33
348,81,58
349,4,37
350,66,33
351,26,32
352,21,33
353,51,25
354,24,32
355,75,42
356,25,30
357,41,41
358,69,44
359,49,44
360,12,50
361,34,28
362,73,59
363,74,43
364,28,28
365,9,53
366,55,47
367,56,37
368,77,37
369,42,48
370,45,46
371,30,32
372,33,30
373,83,53
374,17,30
375,52,37
376,61,50
377,63,33
378,27,32
379,70,47
380,54,42
381,48,41
382,78,37
383,23,44
